question,A,B,C,D,correct_answer,category,type
"An operator shall, prior to departure:","ensure that, where the flight is intended to operate on a route or in an area where an RNP type is prescribed, the aircraft has an appropriate RNP approval, and that all conditions applying to that approval will be satisfied;","ensure that, where operation in reduced vertical separation minimum (RVSM) airspace is planned, the aircraft has the required RVSM approval; and","ensure that, where the flight is intended to operate where an RCP type is prescribed, the aircraft has an appropriate RCP approval, and that all conditions applying to that approval will be satisfied.",All of above,D,,LTC_APP
"Prior to commencement of a radar approach, the aircraft shall be informed of:",the runway to be used;,the applicable obstacle clearance altitude/height;,"the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained",All of above,D,,LTC_APP
An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and:,the reported ceiling is at or above the level of the beginning of the initial approach segment for the aircraft so cleared; or,the pilot reports at the level of the beginning of the initial approach segment or,at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,All of above,D,,LTC_APP
"The initial and intermediate approach phases of an approach executed under the direction of a controller comprise those parts of the approach from the time vectoring is initiated for the purpose of positioning the aircraft for a final approach, until the aircraft is on final approach and:",established on the final approach path of a pilot-interpreted aid; or,reports that it is able to complete a visual approach; or,ready to commence a surveillance radar approach; or transferred to the precision radar approach controller.,All of above,D,,LTC_APP
The approach sequence shall be established in a manner which will facilitate arrival of the maximum number of aircraft with the least average delay. Priority shall be given to:,"an aircraft which anticipates being compelled to land because of factors affecting the safe operation of the aircraft (engine failure, shortage of fuel, etc.);",hospital aircraft or aircraft carrying any sick or seriously injured person requiring urgent medical attention;,aircraft engaged in search and rescue operations; and other aircraft as may be determined by the appropriate authority.,All of above,D,,LTC_APP
Priority for landing shall be given to:,"an aircraft which anticipates being compelled to land because of factors affecting the safe operation of the aircraft (engine failure, shortage of fuel, etc.);",hospital aircraft or aircraft carrying any sick or seriously injured person requiring urgent medical attention;,aircraft engaged in search and rescue operations; and other aircraft as may be determined by the appropriate authority.,All of above,D,,LTC_APP
"Any or all VFR operations on and in the vicinity of an aerodrome may be suspended by any of the following units, persons or authorities whenever safety requires such action:",the approach control unit or the appropriate ACC;,the aerodrome control tower;,the appropriate ATS authority.,All of above,D,,LTC_APP
How should a pilot terminate the read-back of an ATC clearance?,With the word “WILCO”,With his own aircraft call sign.,With the ATC ground station call sign.,With the word “ROGER”,B,,LTC_APP
My message will be more effective and understandable if I,Maintain the speaking volume at a constant level.,Stress the end of message.,Stress every beginning of message.,Use the words twice method,A,,LTC_APP
Speed control shall not be applicable to aircraft:,Entering or established in holding pattern.,Encountering the turbulent weather; conducting priority/ emergency landing.,Carrying VIP.,All the above,D,,LTC_APP
"When an aircraft will pass through the level of another aircraft on the same track, the longitudinal separation minima must be…when the level is crossed:",10 minutes,10 minutes if aircraft have the same type,10 minutes if aircraft have the same Mach number,10 minutes if navigation aids permit frequent determination of position and speed,D,,LTC_APP
What shall the controller do when a pilot reports an ACAS resolution advisory (RA)?,Not attempt to modify the aircraft flight path until the pilot reports “clear of traffic”,Do his best to keep separation between aircraft concerned until the pilot reports “clear of traffic”.,Acknowledge a report to other flight crew that there is an aircraft affected by RA.,Acknowledge a report from the flight crew that waiting until the aircraft resuming the current clearance.,A,,LTC_APP
The responsibility for the control of an aircraft shall be transferred from one air traffic control unit to another as follows:,Between two units providing area control service.,Between a unit providing area control service and a unit providing approach control service and between a unit providing approach control service and an aerodrome control tower.,1 or 2,Both 1 and 2,D,,LTC_APP
"Except when a clearance is obtained from an ATC unit, a VFR flight can not enter or leave a control zone when ceiling is less than:",1.500 feet or visibility is less than 5km,1.000 feet or visibility is less than 5km,2.000 feet or visibility is less than 5km,1.000 feet or visibility is less than 8km.,A,,LTC_APP
The abbreviation OCH means:,Obstacle Clearance Height,Obstruction Collision Height,Obstruction Clearance Height,Obstacle Confirmation Height,A,,LTC_APP
Approach control service is:,Air traffic control service for arriving or departing controlled flights.,Air traffic control service for controlled flights control areas.,Air traffic control service for aerodrome traffic.,All of the above,A,,LTC_APP
Estimated time of arrival is:,The time at which it is estimated that the aircraft will arrive over the aerodrome.,"The time at which it is estimated that the aircraft will arrive over the designated point, defined by reference to navigation aids, from which it is intended that an instrument approach procedure  will be concerned.",The time at which it is estimated that the aircraft will land on the runway.,1 or 2,B,,LTC_APP
Area control service is:,Air traffic control service for arriving or departing controlled flights.,Air traffic control service for controlled flights control areas.,Air traffic control service for aerodrome traffic.,All of the above,B,,LTC_APP
Aeronautical Information Circular is:,A notice containing information that does not qualify for the origination of a NOTAM or for Inclusion in AIP,A notice containing information that  qualify for the origination of a NOTAM or for Inclusion in AIP,A notice containing information that  qualify for the origination of a NOTAM or for Inclusion in AIP,A notice including  information that does not qualify for the origination of a NOTAM or for Inclusion in AIP .,A,,LTC_APP
Aeronautical Information Management is :,"The dynamic,integrated management of aeronautical information through the provision and exchange of quality-assured digital aeronautical data.","The important,integrated management of aeronautical information through the provision and exchange of quality-assured digital aeronautical data.","The dynamic,integration management of aeronautical information through the provision and exchange of quality-assured digital aeronautical data.","The important,integrated management of aeronautical information through the provision and exchange of quality-assured digital aeronautical data.",A,,LTC_APP
AIS:,A service established within the defined area of coverage responsible for the provision of aeronautical data and  information.,A service created within the defined area of coverage responsible for the  provision of aeronautical data and  information.,A service assigned within the defined area of coverage responsible for the  provision of aeronautical data and  information.,A service formed within the defined area of coverage responsible for the  provision of aeronautical data and  information.,A,,LTC_APP
AIP Amendment: :,Permanent changes to the information contained in the AIP.,Permanent changes to the information contained in the AIP.,Temporary changes to the information contained in the AIP.,Updated changes to the information contained in the AIP.,A,,LTC_APP
AIP Supplement. :,Permanent changes to the information contained in the AIP which are published by means of special pages.,Temporary changes to the information contained in the AIP which are published by means of special pages.,Temporary changes to the information contained in the AIP which are published by means of special pages.,Updated changes to the information contained in the AIP which are published by means of special pages.,B,,LTC_APP
AIRAC stands for,Aeronautical Information Regulation and Control,Aeronautical Information Regulation and Check,Aeronautical Information Rules and Control,Aeronautical Information Rules and Check,A,,LTC_APP
ADIZ stand for:,Air defense identification zone.,Aeronautical defense identification zone,Air defense indicated zone,Aeronautical indicated zone.,A,,LTC_APP
"The automatic provision of current, routine information to arriving and departing aircraft throughout 24 hours is:",AFTN,ATIS,VHF,CPDLC,B,,LTC_APP
"A means by which aircraft, aerodrome vehicles and other objects can automatically transmit and/or receive data such as identification, position and additional data, as appropriate, in a broadcast mode via a data link: 2",ADS-A,ADS-B,ADS-C,ADS-D,B,,LTC_APP
“An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at specified times”means (Annex 15 page 1-3),Prohibited area,Restricted area,Danger area,Fuel dumping area,C,,LTC_APP
The minimum altitude for a defined segment of flight that provides the required obstacle clearance is:,MOCA,MICA,MECA,MUCA,A,,LTC_APP
The AIP SUP pages should be preferably:,White,Green,Yellow,Black,C,,LTC_APP
AIP Supplements contain information  :,of temporary change of long duration and/or information requiring graphics,of an administrative nature,with graphics only,with extensive text only,A,,LTC_APP
How much a check list all AIP Supplement currently in force be issued?,at intervals of not more than one month,not more than six months,three times a year,3 months,A,,LTC_APP
"The authority responsible for the collection, collation, editing and publishing of aeronautical information used by all types of aircraft operations is:",The Air Traffic Control Unit,The Airport Management,The Aeronautical Information Service,The airlines concerned,C,,LTC_APP
What are the declared distances of the aerodrome indicated in the AIP-Viet Nam?,RWY,SWY,"TORA, ASDA",CWY,C,,LTC_APP
Each NOTAM shall be located a series identified by a letter and… followed by a stroke and a two digit number for the year:( annex15 item 5.2.5),a  ten-digit number,a two-digit number,an eight-digit number,a four-digit number,D,,LTC_APP
Minimum obstacle clearance altitude (MOCA).,The altitude for a defined segment of flight that provides the required obstacle clearance.,The altitude for a defined segment of flight that provides the required obstacle clearance.,The flight level for a defined segment of flight that provides the required obstacle clearance.,The minimum altitude for a defined segment of flight that provides the required obstacle clearance.,D,,LTC_APP
Movement area.,"That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft, consisting of the manoeuvring area and the apron.","That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft.","That part of an aerodrome to be used for the take-off and taxiing of aircraft, consisting of the manoeuvring area and the apron.","That part of an aerodrome to be used for the landing and taxiing of aircraft, consisting of the manoeuvring area and the apron.",A,,LTC_APP
NOTAM:,"A notice distributed by means of telecommunication containing information concerning the establishment, condition or change in any aeronautical facility.","A notice distributed by means of telecommunication containing information concerning the establishment, condition or change in any aeronautical facility, service, procedure or hazard, the timely knowledge of which is essential to personnel concerned with flight operations.",A notice distributed by means of telecommunication containing information essential to personnel concerned with flight operations.,A notice distributed by means of telecommunication containing information concerning the establishment in any aeronautical facility.,B,,LTC_APP
Prohibited area:,"An airspace of defined dimensions, above the land areas or territorial waters of a State, within which the flight of aircraft is permitted.","An airspace of defined dimensions, above the land areas or territorial waters of a State, within which the flight of aircraft is restricted.","An airspace of defined dimensions, above the land areas or territorial waters of a State, within which the flight of aircraft is prohibited.","An airspace of defined dimensions, above the land areas or territorial waters of a State, within which the flight of aircraft is allowed.",C,,LTC_APP
Radio navigation service.,A service providing departure guidance to aircraft.,A service providing weather information to aircraft.,A service providing ATIS information to aircraft.,A service providing guidance information or position data for the efficient and safe operation of aircraft supported by one or more radio navigation aids.,D,,LTC_APP
Restricted area.,"An airspace of defined dimensions, above the land areas or territorial waters of a State, within which the flight of aircraft is restricted in accordance with certain specified conditions.",An airspace of defined dimensions within which the flight of aircraft is restricted in accordance with certain specified conditions.,"An airspace of defined dimensions, above the land areas or territorial waters of a State.",None of the above.,A,,LTC_APP
Terrain:,The surface of the Earth containing naturally occurring features such as mountains.,"The surface of the Earth containing naturally occurring features such as mountains, hills, ridges, valleys, bodies of water, permanent ice and snow, and excluding obstacles.",The surface of the Earth containing naturally occurring features such as hills.,"The surface of the Earth containing naturally occurring features such as permanent ice and snow, and excluding obstacles.",B,,LTC_APP
A NIL notification shall be originated and distributed by the monthly plain-language list of valid NOTAM when:,An AIP Supplement will not be published.,An AIP Supplement will be published.,AIP Amendment will not be published at the established interval or publication date.,AIP Amendment will be published at the established interval or publication date.,C,,LTC_APP
A checklist of AIP pages containing:,Page number.,Chart title.,"Publication or effective date (day, month by name and year) of the aeronautical information.",All above.,D,,LTC_APP
"AD 2.6 Rescue and firefighting services Detailed description of the rescue and firefighting services and equipment available at the aerodrome, including:",Aerodrome category for firefighting;,Rescue equipment;,Capability for removal of disabled aircraft;,All above.,D,,LTC_APP
"AIP Supplement pages should be coloured  in order to be conspicuous, preferably in yellow.",Yellow.,Red.,White.,Black.,A,,LTC_APP
How often a checklist of valid AIP Supplements shall be issued at intervals of..,Not more than one months.,At intervals of not more than one month.,3 months.,5 months.,B,,LTC_APP
AIP Supplement pages should be kept as the …in the AIP parts.,Second item.,Third item.,First item.,Fourth item.,C,,LTC_APP
AIP shall be published as AIP Amendments contains:,Permanent changes.,Temporary changes.,None of them.,Both of them.,A,,LTC_APP
AIP shall be published as AIP Supplement contains:,Permanent changes.,Temporary changes.,None of them.,Both of them.,B,,LTC_APP
Information of short duration containing extensive text and/or graphics is published as:,An AIP Supplement.,An AIP Amendment.,A notam.,None of them.,A,,LTC_APP
"Letters A to Z, with the exception of S and T, may be used to identify",A notam checklist.,A NOTAM series.,An AIP Amendment,An AIP Supplement.,B,,LTC_APP
A checklist of AIC currently in force shall be issued…,Once a  month.,Twice a month.,At least once a year.,Every week.,C,,LTC_APP
ATS surveillance system:,"A generic term meaning variously, ADS-B, PSR, SSR or any comparable ground-based system that enables the identification of airport.","A generic term meaning variously, ADS-B, PSR, SSR or any comparable ground-based system that enables the identification of radar station.","A generic term meaning variously, ADS-B, PSR, SSR or any comparable ground-based system that enables the identification of VOR station.","A generic term meaning variously, ADS-B, PSR, SSR or any comparable ground-based system that enables the identification of aircraft.",D,,LTC_APP
AIRAC:,An acronym (aeronautical information regulation and control) signifying a system of circumstances that necessitate significant changes in operating practices.,An acronym (aeronautical information regulation and control) signifying a system aimed at advance notification of circumstances that necessitate significant changes in operating practices.,An acronym (aeronautical information regulation and control) signifying a system aimed at advance information of circumstances that necessitate significant changes in operating practices.,"An acronym (aeronautical information regulation and control) signifying a system aimed at advance notification, based on common effective dates, of circumstances that necessitate significant changes in operating practices.",D,,LTC_APP
Aerodrome is:,"A defined area on land (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area on water (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area on land or water (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.",A,,LTC_APP
Aeronautical information:,"Information resulting from the assembly, analysis and formatting of aeronautical data","Information resulting from the assembly, analysis and formatting of AIS data.","Information resulting from the assembly, analysis and formatting of aviational data.","Information resulting from the assembly, analysis and formatting of navigational data.",A,,LTC_APP
Aeronautical Information Circular (AIC).,"A notice containing information that does not qualify for the origination of a NOTAM or for inclusion in the AIP, but which relates to flight safety, air navigation, technical, administrative or legislative matters.","A notice containing information that does not qualify for the origination of a NOTAM or for inclusion in the AIP, but which relates to flight safety, technical, administrative or legislative matters.","A notice containing information that does not qualify for the origination of a NOTAM or for inclusion in the AIP, but which relates to flight safety, air navigation, administrative or legislative matters.","A notice containing information that does not qualify for the origination of a NOTAM or for inclusion in the AIP, but which relates to air navigation, technical, administrative or legislative matters",A,,LTC_APP
Aeronautical Information Publication (AIP).,A publication issued by or with the authority of a State and containing aeronautical information of a lasting character essential to an ATS unit.,A publication issued by or with the authority of a State and containing aeronautical information of a lasting character essential to a VOR station.,A publication issued by or with the authority of a State and containing aeronautical information of a lasting character essential to a radar station.,A publication issued by or with the authority of a State and containing aeronautical information of a lasting character essential to air navigation.,D,,LTC_APP
AIP Amendment contain:,Permanent changes to the information contained in the AIP.,Temporary changes to the information contained in the AIP.,1 or 2.,1 and 2.,A,,LTC_APP
AIP Supplement contain:,Permanent changes to the information contained in the AIP which are published by means of special pages.,Temporary changes to the information contained in the AIP which are published by means of special pages.,1 or 2.,1 and 2.,B,,LTC_APP
AIRAC is an acronym of:,Aeronautical information rule and control.,Aeronautical information regulation and control.,Aviation information regulation and control.,Airport information regulation and control.,B,,LTC_APP
Area navigation (RNAV) is:,A method of navigation.,A SID.,An approach procedure.,Non of the above.,A,,LTC_APP
ATS surveillance service.,Term used to indicate a service from a tower.,Term used to indicate a service from approach control unit.,Term used to indicate a service from area control center.,Term used to indicate a service provided directly by means of an ATS surveillance system.,D,,LTC_APP
Automatic terminal information service (ATIS).,"The automatic provision of current, routine information to arriving aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to departing aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to en-route aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to arriving and   departing aircraft throughout 24 hours or a specified portion thereof.",D,,LTC_APP
Danger area.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at all times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at specified times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at day-light times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at night times.,B,,LTC_APP
Geodesic distance.,The slant distance between any two points on a mathematically defined ellipsoidal surface.,The  distance between any two points on a mathematically defined ellipsoidal surface.,The shortest distance between any two points on a mathematically defined ellipsoidal surface.,The vertical distance between any two points on a mathematically defined ellipsoidal surface.,C,,LTC_APP
Geodetic datum.,A set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,A maximum set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,A minimum set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,Non of the above,C,,LTC_APP
Heliport.,An aerodrome or a defined area on a structure intended to be used wholly or in part for the arrival and surface movement of helicopters.,An aerodrome or a defined area on a structure intended to be used wholly or in part for the departure and surface movement of helicopters.,An aerodrome or a defined area on a structure intended to be used wholly or in part for the en-route and surface movement of helicopters.,"An aerodrome or a defined area on a structure intended to be used wholly or in part for the arrival, departure and surface movement of helicopters.",D,,LTC_APP
International NOTAM office (NOF).,An office designated by a State for the exchange of NOTAM internationally,An office designated by a ground control unit.,An office designated by an approach control unit.,An office designated by an area control center.,A,,LTC_APP
Manoeuvring area.,That part of an aerodrome to be used for the take-off aircraft.,"That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft, excluding aprons.",That part of an aerodrome to be used for landing aircraft.,That part of an aerodrome to be used for the taxiing of aircraft.,B,,LTC_APP
Minimum en-route altitude (MEA).,The altitude for an departure segment.,The altitude for an arrival segment.,The altitude for an en-route segment.,The altitude for an low pass segment.,C,,LTC_APP
Ceiling is the height above the ground or water of the base of the lowest layer of clound below … covering more than half the sky.,6000m,5000m,4000m,3000m,A,,LTC_APP
"Heading is the direction in which the …. Axis of an aircraft is pointed, usually expressed in degrees from … (true, magnetic, compass or grid)",Longitudinal/ Sounth,Longitudinal/ north,Horizontal/ south,Horizontal/ north,B,,LTC_APP
Radar is a radio detection divice which provides information on… of objects,Range and azimuth,"Range, azimuth and/or elevation",Range and elevation,azimuth and elevation,B,,LTC_APP
Radar approach is an approach in which … phase is executed under the direction of a controller using radar,All approach,Innitial approach,Intermediate approach,Final approach,D,,LTC_APP
Radar contact is the situation which exists when the radar position of a particular aircraft is …. on a situation display,Seen,Identified,Seen and identified,contacted,C,,LTC_APP
Terminal control area (TMA) is a control area normally established at the confluence of  ATS routes in the vicility of …. major aerodrome(s),One,Two,One or more,Two or more,C,,LTC_APP
Only minor speed adjustment not exceeding plus/minus … should be used for aircraft on intermediate and final approach,20 kts IAS,25 kts IAS,20 kts TAS,25 kts TAS,A,,LTC_APP
An expected approach time shall be transmitted to the aircraft by the most expeditious means whenever it is anticipated that the aircraft will be required to hold for … minutes or more.,5,10,15,30,D,,LTC_APP
The minimum radar separation to be provided between aircraft established on the ILS localizer course shall be … between aircarft on the same ILS localizer course unless increased longitudinal separation is required due to wake turbulence,2nm,3nm,4nm,5nm,B,,LTC_APP
